Assignee,L1,L2 - D1,L2 - D2,L3,L4,Avg Fixed,Avg Closed,Avg Reopened,Total Components,Priority Points,Severity Points
131,0.04733,0.07494,0.07578,0.07867,0.07049,241.35628662421,10834.1675877692,0.826446280991735,5,40,114
332,0.01548,0.04551,0.03303,0.04500,0.07030,1061.404448768,23194.767779992,0,2,9,18
527,0.06477,0.07422,0.07829,0.08223,0.07046,487.887609636535,9748.59336087907,2.36220472440945,16,208,426
140,0.04862,0.07414,0.07126,0.07727,0.07030,151.357210773917,10099.8821667324,1.58730158730159,9,325,720
41,0.04708,0.07239,0.07077,0.07479,0.07066,171.448241366,13074.7023354195,4.25531914893617,3,58,162
32006,0.06235,0.07064,0.07345,0.08126,0.07030,2012.17506858937,10182.4166553872,1.91637630662021,5,216,438
685,0.05814,0.07120,0.06770,0.08000,0.07046,1332.60714767546,11038.8239316677,1.51843817787419,8,207,468
146,0.06506,0.07644,0.08058,0.08024,0.07030,416.614134860539,9990.70748417112,1.19581464872945,6,128,312
129,0.07122,0.07681,0.08025,0.07499,0.07049,444.385416975,26624.912368241,14.2857142857143,2,5,12
148,0.05536,0.07619,0.06966,0.08108,0.07030,737.158308884956,9266.02085800292,1.89655172413793,12,308,678
99,0.05145,0.07481,0.07597,0.07798,0.07049,670.662702695818,9422.37434446109,0,8,29,66
284,0.04498,0.06919,0.06180,0.08007,0.07030,889.520878426438,9357.09638365213,2.51798561151079,9,286,630
31759,0.01254,0.03582,0.01198,0.05965,0.07046,515.875676182302,17841.2381343171,1.49532710280374,1,135,318
195,0.01880,0.07363,0.06641,0.05832,0.06852,733.97361461,6163.9000561156,0,3,15,30
26880,0.01182,0.06625,0.06039,0.05339,0.06852,0,49627.089459716,0,1,3,6
496,0.01566,0.03582,0.01198,0.07197,0.07046,865.012991300366,14120.2405640607,1.28504672897196,2,492,984
54,0.06683,0.07275,0.07532,0.08218,0.07030,483.177961284117,9217.02222768812,1.86379928315412,8,269,618
282,0.01427,0.04843,0.05091,0.07188,0.07030,1740.983889676,10593.0563625962,0,2,25,60
283,0.02084,0.04934,0.05264,0.07139,0.07030,479.6630003704,10113.6959815583,4.45544554455446,4,81,180
88457,0.07574,0.07668,0.08120,0.07553,0.07066,963.250095192667,9249.044584169,0,3,18,36
196,0.02412,0.07120,0.06069,0.06059,0.07030,1369.46445453248,9344.48670514952,1.0958904109589,3,81,174
192,0.05208,0.07695,0.07790,0.07755,0.07030,665.447692481231,9362.5017379239,1.90476190476191,3,94,234
226,0.01205,0.04586,0.02854,0.06113,0.06824,1391.221129688,11329.553612354,0,1,3,6
143,0.09151,0.07755,0.08280,0.07639,0.07049,115.779198420889,9875.53895131511,1.76991150442478,2,25,54
9030,0.02121,0.05287,0.05392,0.02870,0.06975,1396.496114708,9700.61528147,8,1,6,12
497,0.02058,0.05514,0.04446,0.06275,0.07030,2159.9810464515,13972.3688229395,4.76190476190476,2,12,24
290,0.01445,0.04670,0.01915,0.07035,0.06947,242.849371603474,8942.9464335899,2.75229357798165,1,52,114
286,0.05428,0.07444,0.07644,0.07129,0.07030,406.211406658,9641.866125404,0,1,3,6
309,0.02447,0.07075,0.05312,0.05862,0.07030,540.786852481333,9761.380417771,2.77777777777778,4,19,36
50,0.09966,0.07649,0.08046,0.08268,0.07066,818.426113052,9647.89585245,0,1,3,6
227,0.03652,0.07129,0.07334,0.06535,0.07030,141.80140633,9095.202518562,0,1,3,6
225,0.01875,0.07016,0.06273,0.06355,0.06975,896.553895732,8645.770560172,0,1,3,6
307,0.00260,0.04599,0.01626,0.03847,0.04578,4440.91805629,8639.57362997,12.5,1,4,6
544,0.00835,0.02459,0.02144,0.03337,0.06947,2382.4564586985,8079.564862363,1.69491525423729,2,31,72
315,0.00669,0.06695,0.05677,0.04260,0.06824,7845.602517282,14278.736684856,0,1,3,6
107,0.00813,0.06029,0.05495,0.04344,0.06947,167.51806477,25116.608194931,0,1,5,12
298,0.00716,0.04599,0.02684,0.05572,0.06824,6723.886391998,16828.06666992,7.14285714285714,1,2,6
378,0.01168,0.06727,0.06169,0.00549,0.06947,12177.038618342,12386.99166906,0,1,3,6
