Assignee Id,L1 Centrality,L2-A Centrality,L2-B Centrality,L3 Centrality,L4 Centrality,Global Centrality A,Global Centrality B,Avg Fixed Time,Reopened Percent,Assignee Component,Total Bugs,First Closed Avg Time,Priority/Bug,Severity/Bug
12344,0.00569,0.01020,0.00174,0.07536,0.04538,0.0535129444166078,0.00751685080055569,1068.9775,0,2,23,1068.9775,2.78260869565217,2.8695652173913
15181,0.00794,0.01032,0.01394,0.08653,0.03999,0.00141255992576779,0.000113836615917686,476.525277777778,1.62107396149949,1,93,469.315277777778,3,3.16129032258064
15182,0.00522,0.01032,0.01412,0.08545,0.03999,0.000934358773978066,0.0000990986802902656,372.477777777778,1.10497237569061,1,16,372.477777777778,3,3.4375
15183,0.00669,0.01032,0.01385,0.12515,0.03883,0.0162498355709733,0.00199433440277788,560.1675,3.06513409961686,2,21,560.1675,3,3.23809523809524
15191,0.01014,0.01032,0.01710,0.12926,0.04096,0.00249408038251882,0.000616006457423299,187.720555555556,1.44404332129964,1,29,187.720555555556,3,3.44827586206896
15203,0.00404,0.01032,0.01238,0.08012,0.03757,0.000153182973588764,0.000710455157537213,1873.18194444445,4.42477876106195,1,12,1873.18194444445,3,3.08333333333333
15232,0.00958,0.01032,0.01441,0.12793,0.03883,0.0000755554675274447,0.000950841099457852,650.134444444444,0.75046904315197,1,56,650.134444444444,3,3.03571428571429
15839,0.02483,0.01032,0.01740,0.13223,0.04659,0.00296831083671767,0.0407856659885171,1183.18944444444,1.48698884758364,2,25,1183.18944444444,3,3.76
17262,0.00616,0.01066,0.01419,0.08653,0.03999,0.00998621069758267,0.00240284472826656,313.629722222222,4.54545454545455,2,15,283.065277777778,3,3.53333333333333
17391,0.00513,0.01954,0.01943,0.08310,0.04636,0.0173942249355053,0.0101733350372632,488.633333333333,0,7,12,488.633333333333,3,2.66666666666667
17407,0.00479,0.00890,0.00467,0.00085,0.04568,0.000525678547874889,0.0227007288392475,1407.67694444444,0,2,11,1407.67694444444,3,3.18181818181818
17801,0.01004,0.01032,0.01690,0.13119,0.04632,0.000591982424412479,0.0871529312783619,277.892777777778,0.533333333333333,1,40,277.892777777778,3,3.2
17871,0.00550,0.01066,0.00925,0.08653,0.04535,0.000453396692854387,0.00917857052240156,1293.74111111111,0.668896321070234,1,30,1293.74111111111,3,3.36666666666667
18673,0.00949,0.01066,0.01470,0.12840,0.04632,0.00259570031178495,0.0146095009565377,386.509444444445,1.91082802547771,3,31,386.509444444445,3,3
21505,0.00391,0.01198,0.00706,0.00545,0.04471,0.00107511069640616,0.0379447250303796,3643.23416666667,0,2,13,3643.23416666667,2.61538461538461,1.69230769230769
22218,0.00577,0.01032,0.01385,0.08099,0.03757,0.00393158873886605,0.000943463346068414,368.312777777778,1.99335548172757,1,61,368.312777777778,3,2.9344262295082
22705,0.01436,0.01082,0.01330,0.01424,0.04491,0.0509502327068882,0.0117906948459469,3031.27638888889,0.472813238770686,3,32,2995.34,2.75,2.71875
22709,0.00518,0.01032,0.00569,0.09254,0.04568,0.03292112555086,0.00233928989927538,368.200833333333,1.79372197309417,1,66,361.906944444444,3,3.28787878787879
23181,0.00594,0.01032,0.00938,0.08653,0.03999,0.148413164830051,0.00115015247957843,421.091111111111,2.08333333333333,1,14,421.091111111111,3,3.14285714285714
23673,0.00657,0.01032,0.01648,0.09199,0.04096,0.00112102131740462,0.0000253826452530762,226.414722222222,2.02020202020202,2,30,203.940833333333,3,3.6
24210,0.04550,0.01923,0.02191,0.02869,0.04660,0.000282274149982645,0.000550771699609611,2865.90166666667,5.45454545454545,8,73,2603.54222222222,2.83561643835616,3.3972602739726
25405,0.02527,0.05459,0.03619,0.09025,0.04568,0.0165551092872501,0.0520285974726858,383.603055555556,3.88349514563107,2,22,383.603055555556,3,3.59090909090909
26141,0.00482,0.01066,0.01609,0.08653,0.03999,0.0341105587312598,0.00305515900878841,410.050277777778,3.72093023255814,3,21,410.050277777778,3,3.71428571428571
26657,0.01075,0.00498,0.00726,0.00863,0.04662,0.105398431154827,0.000957963808310506,134.468888888889,5.75539568345324,7,21,110.001111111111,3,2.42857142857143
26963,0.01082,0.01124,0.01611,0.01004,0.04535,0.000199911812124837,0.0106265327668614,2315.50222222222,1.02564102564103,2,15,2315.50222222222,2.66666666666667,2.6
27344,0.01338,0.07967,0.02847,0.01038,0.04548,0.0202369057258853,0.0255020950073108,912.055833333333,0.435729847494553,6,34,624.676388888889,3,1.14705882352941
27483,0.00353,0.00141,0.00167,0.00563,0.03192,0.0467069450116035,0.00975304041958605,593.220277777778,4.59770114942529,3,20,593.218333333333,3,2.6
27571,0.01941,0.00904,0.01125,0.00742,0.04535,0.0158576989382822,0.000463856044457073,3038.70027777778,0,2,19,3038.70027777778,2.21052631578947,3.26315789473684
27913,0.04812,0.01902,0.02180,0.03320,0.04662,0.0111659362175988,0.000121699099962707,4815.88861111111,2.63157894736842,10,84,4631.37611111111,2.41666666666667,2.78571428571429
27988,0.01493,0.01066,0.01763,0.09193,0.04103,0.00157124617186253,0.0447883919971161,230.709444444444,0,1,11,230.709444444444,3,3
28595,0.00071,0.00186,0.00039,0.00230,0.04648,0.127134490832023,0.00193443939649067,1119.42,0,1,16,1119.42,2.625,2.75
29174,0.01008,0.01032,0.01400,0.08483,0.04570,0.00000348399941147378,0.00117953046979277,760.091666666667,2.38095238095238,1,73,760.091666666667,3,3.15068493150685
30441,0.01068,0.01291,0.01512,0.00964,0.04568,0.058626361334171,0.0533658680360955,3859.82166666667,4.71698113207547,2,22,3700.89416666667,2.54545454545454,3.13636363636364
31807,0.01008,0.01066,0.01763,0.08653,0.04582,0.0136370204016856,0.0014070387579663,275.270277777778,2.94117647058823,1,12,275.270277777778,3,3
32655,0.00037,0.00128,0.00003,0.00003,0.04597,0.00253546683070873,0.0199191278987488,7454.53027777778,0,1,62,7454.53027777778,3,2.20967741935484
34928,0.00000,0.00000,0.00000,0.00000,0.04506,0.041227559009204,0.1900088025673,2390.77805555556,0,7,19,2390.77805555556,3,2.8421052631579
35057,0.00403,0.01032,0.00796,0.07760,0.03999,0.0371679784280409,0.00984571016967174,555.086388888889,0,1,19,555.086388888889,3,2.94736842105263
36309,0.00819,0.01066,0.01407,0.12505,0.04535,0.0298880808535689,0.00110667289853416,1226.79777777778,1.54798761609907,5,65,1226.79777777778,3.03076923076923,3.03076923076923
37190,0.00009,0.00287,0.00113,0.00007,0.04595,0.0318824276071506,0.00205527460877212,1164.27805555556,2.56410256410256,1,11,1162.22611111111,3,2.72727272727273
